timestamp	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz
1634987310.749879
1634987310.800859	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.68	5.0	-26.0	12.0	-998.0
1634987310.910205	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.74	5.0	-26.0	12.0	-998.0
1634987311.001867	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.73	5.0	-26.0	11.0	-1001.0
1634987311.064161	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.55	5.0	-24.0	11.0	-997.0
1634987311.152094	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.54	5.0	-27.0	11.0	-1001.0
1634987311.252672	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.65	5.0	-27.0	11.0	-999.0
1634987311.366837	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.62	5.0	-24.0	10.0	-1001.0
1634987311.46423	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	90.0	10.0	0.0	63.0	971.7	5.0	-26.0	12.0	-998.0
1634987311.564951	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.68	5.0	-25.0	10.0	-1000.0
1634987311.676019	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.78	5.0	-27.0	12.0	-1000.0
1634987311.771321	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.79	5.0	-26.0	10.0	-997.0
1634987311.872309	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.8	5.0	-26.0	11.0	-999.0
1634987311.967795	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.8	5.0	-26.0	12.0	-999.0
1634987312.083737	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.81	5.0	-26.0	12.0	-998.0
1634987312.177786	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.77	5.0	-27.0	12.0	-1001.0
1634987312.287918	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.89	5.0	-27.0	11.0	-997.0
1634987312.389979	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.84	5.0	-25.0	12.0	-998.0
1634987312.491739	-1.0	0.0	-3.0	0.0	0.0	0.0	88.0	91.0	10.0	0.0	63.0	971.79	5.0	-26.0	11.0	-1001.0
1634987312.583755	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.8	5.0	-25.0	10.0	-998.0
1634987312.685076	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.84	5.0	-26.0	11.0	-1001.0
1634987312.788271	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.88	5.0	-25.0	12.0	-1000.0
1634987312.891747	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.9	5.0	-25.0	11.0	-999.0
1634987312.990465	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.93	5.0	-25.0	11.0	-999.0
1634987313.104031	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	972.01	5.0	-27.0	10.0	-999.0
1634987313.202773	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	972.06	5.0	-25.0	12.0	-997.0
1634987313.299702	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.84	5.0	-25.0	11.0	-999.0
1634987313.40134	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.8	5.0	-26.0	10.0	-1000.0
1634987313.496535	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.85	5.0	-27.0	11.0	-999.0
1634987313.60773	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.76	5.0	-24.0	9.0	-998.0
1634987313.712538	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.71	5.0	-25.0	10.0	-999.0
1634987313.807999	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.76	5.0	-25.0	11.0	-996.0
1634987313.919936	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-25.0	11.0	-1001.0
1634987314.011076	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-35.0	7.0	-997.0
1634987314.12221	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-30.0	11.0	-997.0
1634987314.221093	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-19.0	-3.0	-1005.0
1634987314.32134	-1.0	0.0	-3.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-41.0	6.0	-1043.0
1634987314.37003	2.0	0.0	-4.0	0.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-75.0	-26.0	-994.0
1634987314.480984	3.0	-1.0	-5.0	-1.0	0.0	0.0	87.0	90.0	10.0	0.0	63.0	971.74	5.0	-46.0	-52.0	-1072.0
1634987314.634	3.0	-1.0	-4.0	-2.0	-1.0	-1.0	87.0	91.0	10.0	0.0	63.0	971.74	5.0	-86.0	-84.0	-1307.0
1634987314.730732	-2.0	1.0	-5.0	-3.0	-1.0	-4.0	87.0	91.0	10.0	0.0	63.0	971.74	5.0	-132.0	-14.0	-1546.0
1634987314.824459	-7.0	2.0	-5.0	-3.0	0.0	-6.0	87.0	91.0	16.0	0.0	63.0	972.04	6.0	-141.0	-124.0	-1162.0
1634987314.928651	-9.0	2.0	-5.0	-3.0	-1.0	-7.0	87.0	91.0	24.0	0.0	63.0	972.27	6.0	-172.0	-62.0	-1119.0
1634987315.027395	-10.0	4.0	-4.0	-3.0	-1.0	-9.0	87.0	91.0	33.0	10.0	63.0	972.33	6.0	-247.0	-38.0	-961.0
1634987315.139936	-12.0	4.0	-5.0	-4.0	0.0	-8.0	87.0	91.0	40.0	20.0	63.0	972.36	6.0	-194.0	-49.0	-957.0
1634987315.245378	-14.0	4.0	-5.0	-3.0	0.0	-7.0	87.0	91.0	49.0	20.0	63.0	972.23	6.0	-172.0	0.0	-865.0
1634987315.296932	-14.0	3.0	-5.0	-3.0	0.0	-6.0	87.0	91.0	57.0	30.0	63.0	972.25	6.0	-193.0	-3.0	-903.0
1634987315.399027	-14.0	1.0	-4.0	-2.0	0.0	-5.0	87.0	91.0	63.0	30.0	63.0	972.29	6.0	-206.0	-8.0	-893.0
1634987315.485552	-14.0	1.0	-4.0	-2.0	0.0	-4.0	87.0	91.0	68.0	30.0	63.0	972.49	6.0	-173.0	-53.0	-889.0
1634987315.596678	-14.0	2.0	-4.0	-1.0	0.0	-3.0	87.0	91.0	73.0	40.0	63.0	972.51	6.0	-186.0	-31.0	-995.0
1634987315.702255	-14.0	1.0	-4.0	-1.0	0.0	-1.0	87.0	91.0	76.0	40.0	63.0	972.42	6.0	-173.0	-43.0	-868.0
1634987315.791317	-13.0	2.0	-4.0	-1.0	0.0	-1.0	87.0	91.0	78.0	40.0	63.0	972.54	7.0	-187.0	-54.0	-895.0
1634987315.905823	-13.0	2.0	-4.0	-1.0	0.0	0.0	87.0	91.0	78.0	40.0	63.0	972.42	7.0	-189.0	-12.0	-936.0
1634987316.003017	-12.0	2.0	-4.0	0.0	0.0	0.0	87.0	91.0	78.0	40.0	63.0	972.04	7.0	-164.0	-48.0	-979.0
1634987316.109306	-12.0	1.0	-4.0	0.0	0.0	0.0	87.0	91.0	78.0	40.0	63.0	972.44	7.0	-204.0	-62.0	-963.0
1634987316.204998	-12.0	1.0	-4.0	0.0	0.0	0.0	87.0	91.0	76.0	40.0	63.0	972.01	7.0	-172.0	-60.0	-1088.0
1634987316.301942	-11.0	1.0	-4.0	0.0	0.0	0.0	87.0	91.0	74.0	40.0	63.0	971.96	7.0	-182.0	-65.0	-1121.0
1634987316.407338	-10.0	3.0	-5.0	0.0	0.0	0.0	87.0	91.0	72.0	40.0	63.0	971.82	7.0	-245.0	10.0	-992.0
1634987316.507286	-11.0	2.0	-5.0	0.0	0.0	0.0	87.0	91.0	70.0	40.0	63.0	971.74	7.0	-195.0	-2.0	-921.0
1634987316.620136	-13.0	0.0	-5.0	0.0	0.0	0.0	88.0	91.0	67.0	40.0	63.0	971.79	7.0	-175.0	-27.0	-939.0
1634987316.709885	-14.0	0.0	-4.0	0.0	0.0	1.0	88.0	91.0	64.0	40.0	63.0	972.2	7.0	-158.0	-56.0	-869.0
1634987316.8206	-15.0	1.0	-5.0	0.0	0.0	3.0	88.0	91.0	60.0	30.0	63.0	972.02	8.0	-185.0	-40.0	-936.0
1634987316.914331	-11.0	2.0	-4.0	1.0	0.0	2.0	88.0	91.0	55.0	30.0	63.0	971.74	8.0	-251.0	-24.0	-1138.0
1634987317.015381	-10.0	2.0	-4.0	1.0	0.0	1.0	88.0	91.0	51.0	20.0	63.0	971.74	8.0	-231.0	-23.0	-1080.0
1634987317.126431	-10.0	2.0	-4.0	1.0	0.0	0.0	88.0	91.0	48.0	20.0	63.0	971.77	8.0	-181.0	-76.0	-1126.0
1634987317.228285	-13.0	3.0	-4.0	0.0	0.0	0.0	88.0	91.0	47.0	20.0	63.0	971.94	8.0	-176.0	-30.0	-918.0
1634987317.322005	-12.0	3.0	-5.0	1.0	0.0	0.0	88.0	91.0	45.0	20.0	63.0	971.77	8.0	-156.0	-80.0	-1171.0
