agz	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	timestamp
0	2	-7	-6	0	1	62	66	253	240	17	974.36	43	96	-50	-963	1634988040.0089
0	2	-7	-6	0	1	62	66	253	240	17	974.36	43	96	-50	-963	1634988040.06003
1	2	-7	-5	0	1	62	66	255	240	17	974.39	43	75	-31	-1006	1634988040.10813
2	2	-7	-5	0	1	62	66	250	240	17	974.36	43	66	-10	-1002	1634988040.20353
1	2	-7	-5	0	1	62	66	254	240	17	974.34	43	116	-49	-979	1634988040.30267
3	2	-7	-4	0	1	62	66	263	240	17	974.38	44	72	-9	-980	1634988040.4024
10	0	-7	-5	0	1	62	66	262	240	17	974.34	44	65	-42	-996	1634988040.5202
9	0	-7	-6	0	1	62	66	263	240	17	974.41	44	63	-6	-994	1634988040.62108
8	0	-7	-7	0	0	64	66	260	240	17	974.3	44	86	-13	-985	1634988040.71914
8	1	-7	-8	0	0	64	66	265	240	17	974.42	44	85	-19	-996	1634988040.81445
8	1	-7	-9	0	0	64	66	263	250	17	974.55	44	75	-6	-1027	1634988040.91907
7	2	-6	-9	0	0	64	66	259	250	17	974.41	44	107	-23	-1001	1634988041.0304
2	1	-6	-10	0	0	64	66	264	250	17	974.49	44	80	-24	-941	1634988041.07727
0	1	-7	-9	0	0	64	66	262	250	17	974.43	44	68	-4	-967	1634988041.18212
0	1	-7	-8	0	1	64	66	266	250	17	974.42	44	94	-38	-929	1634988041.27936
0	1	-7	-7	0	1	64	66	259	250	17	974.44	45	49	-10	-963	1634988041.37466
0	1	-6	-7	0	1	64	66	261	250	17	974.45	45	76	-5	-953	1634988041.47326
9	0	-6	-6	0	1	64	66	266	250	16	974.52	45	79	-8	-957	1634988041.59032
8	0	-6	-7	0	1	63	66	266	240	16	974.46	45	87	-9	-1068	1634988041.69171
8	0	-6	-8	0	1	63	66	261	240	16	974.49	45	72	-10	-1008	1634988041.79435
8	0	-7	-9	0	1	63	66	268	240	16	974.42	45	92	-14	-979	1634988041.89647
7	1	-7	-10	0	1	63	66	268	240	16	974.38	45	94	-23	-1005	1634988041.99213
2	1	-7	-10	0	1	63	66	260	240	16	974.45	45	114	-22	-979	1634988042.09178
0	1	-6	-9	1	1	63	66	260	240	16	974.53	45	75	-2	-1034	1634988042.20041
0	0	-7	-8	1	1	63	66	261	240	16	974.49	46	98	-7	-1017	1634988042.30437
0	0	-7	-7	0	1	63	66	259	240	16	974.44	46	97	-12	-1026	1634988042.40641
0	0	-7	-7	0	1	63	66	256	240	16	974.41	46	72	9	-962	1634988042.50772
0	1	-7	-6	0	1	63	66	254	240	16	974.37	46	70	-11	-1055	1634988042.604
0	1	-7	-6	0	1	63	66	253	240	16	974.41	46	56	-4	-1010	1634988042.70259
7	0	-7	-6	0	0	63	66	259	240	16	974.46	46	44	-21	-991	1634988042.79973
9	0	-7	-7	0	0	63	66	263	230	16	974.48	46	40	-7	-1024	1634988042.91084
8	0	-7	-8	0	0	63	66	263	230	16	974.56	46	52	6	-1000	1634988043.01778
2	1	-7	-9	0	0	63	66	263	230	16	974.45	46	74	-26	-1059	1634988043.11339
0	2	-7	-9	0	0	63	66	256	230	16	974.46	46	65	-3	-980	1634988043.21205
-2	1	-7	-8	0	0	63	66	261	230	16	974.41	47	63	5	-994	1634988043.3147
-1	0	-7	-7	1	0	63	66	260	230	16	974.59	47	50	-6	-981	1634988043.42602
-1	0	-7	-6	1	0	63	66	261	230	16	974.44	47	47	14	-1024	1634988043.52264
0	0	-7	-5	1	0	63	66	258	230	15	974.46	47	59	13	-1041	1634988043.62537
0	0	-7	-5	1	0	64	67	255	230	15	974.47	47	47	16	-1004	1634988043.72654
0	-1	-7	-4	1	0	64	67	262	230	15	974.52	47	38	-4	-994	1634988043.88377
0	-1	-7	-4	0	0	64	67	263	230	15	974.64	47	39	9	-1052	1634988044.02654
0	0	-7	-3	0	0	64	67	263	240	15	974.55	47	48	-16	-1028	1634988044.02654
4	0	-6	-4	0	0	64	67	267	240	15	974.57	47	63	-19	-925	1634988044.17754
9	0	-6	-5	0	0	64	67	272	240	15	974.62	47	36	-17	-1014	1634988044.32087
8	0	-6	-6	0	0	64	67	273	240	15	974.62	48	68	-41	-1000	1634988044.33789
8	1	-6	-7	0	0	64	67	270	240	15	974.61	48	70	-41	-1024	1634988044.44105
8	3	-6	-8	0	0	64	67	271	240	15	974.58	48	63	-33	-1010	1634988044.62297
4	3	-6	-9	0	0	64	67	270	240	15	974.62	48	65	-39	-1066	1634988044.7632
0	2	-6	-9	0	0	64	67	260	240	15	974.7	48	39	-55	-923	1634988044.7632
-1	2	-7	-8	0	1	64	67	258	240	15	974.63	48	63	-67	-907	1634988044.94046
-2	3	-7	-7	0	1	64	67	260	240	15	974.66	48	51	-62	-945	1634988044.95606
-1	2	-7	-6	0	1	64	67	262	240	15	974.64	48	29	-45	-978	1634988045.09191
-1	2	-7	-6	0	1	64	67	255	230	15	974.67	48	37	-57	-956	1634988045.25522
-1	2	-7	-5	0	1	64	67	252	230	15	974.62	48	44	-50	-1010	1634988045.26111
-2	2	-7	-5	0	1	64	67	254	230	15	974.65	49	39	-41	-1041	1634988045.35052
