pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz	timestamp
1.0	0.0	10.0	0.0	0.0	0.0	80.0	83.0	10.0	0.0	65.0	967.68	109.0	35.0	8.0	-998.0	1636887522.476583
1.0	0.0	10.0	0.0	0.0	0.0	80.0	83.0	10.0	0.0	65.0	967.68	109.0	35.0	8.0	-998.0	1636887522.476583
1.0	0.0	10.0	0.0	0.0	0.0	80.0	83.0	10.0	0.0	65.0	967.66	109.0	34.0	7.0	-998.0	1636887522.5789
1.0	0.0	10.0	0.0	0.0	0.0	80.0	83.0	10.0	0.0	65.0	967.75	109.0	35.0	7.0	-996.0	1636887522.683276
1.0	0.0	10.0	0.0	0.0	0.0	80.0	83.0	10.0	0.0	65.0	967.7	109.0	33.0	7.0	-998.0	1636887522.785524
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.75	109.0	34.0	6.0	-998.0	1636887522.887206
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.72	109.0	34.0	6.0	-999.0	1636887522.988299
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.7	109.0	34.0	7.0	-1001.0	1636887523.089965
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.69	109.0	35.0	7.0	-1001.0	1636887523.19055
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.68	109.0	34.0	7.0	-998.0	1636887523.29471
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.73	109.0	34.0	8.0	-996.0	1636887523.396806
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.7	109.0	34.0	8.0	-997.0	1636887523.499052
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.62	109.0	34.0	7.0	-999.0	1636887523.599518
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.7	109.0	35.0	7.0	-999.0	1636887523.656146
1.0	0.0	10.0	0.0	0.0	0.0	79.0	82.0	10.0	0.0	65.0	967.68	109.0	33.0	9.0	-1000.0	1636887523.752969
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.68	109.0	35.0	6.0	-1002.0	1636887523.857671
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.65	109.0	33.0	7.0	-999.0	1636887523.959065
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.71	109.0	34.0	8.0	-997.0	1636887524.061192
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.73	109.0	34.0	6.0	-1000.0	1636887524.16554
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.71	109.0	33.0	7.0	-996.0	1636887524.268097
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.65	109.0	32.0	6.0	-1000.0	1636887524.364428
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.72	109.0	34.0	7.0	-998.0	1636887524.468151
1.0	0.0	10.0	0.0	0.0	0.0	80.0	82.0	10.0	0.0	65.0	967.68	109.0	34.0	7.0	-1000.0	1636887524.570159
