timestamp	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz	
1636893281.912565	
1636893281.961361	-1.0	0.0	-170.0	0.0	0.0	0.0	58.0	61.0	156.0	150.0	34.0	960.74	145.0	-69.0	0.0	-978.0	
1636893282.06479	5.0	0.0	-171.0	1.0	0.0	0.0	58.0	60.0	160.0	150.0	34.0	960.89	145.0	-88.0	-1.0	-1027.0	
1636893282.167777	7.0	0.0	-170.0	2.0	0.0	0.0	58.0	60.0	156.0	150.0	34.0	960.98	145.0	-49.0	-15.0	-1026.0	
1636893282.269735	7.0	0.0	-170.0	4.0	0.0	0.0	58.0	60.0	158.0	150.0	34.0	960.91	145.0	-36.0	-7.0	-1035.0	
1636893282.368959	6.0	0.0	-170.0	6.0	1.0	0.0	58.0	60.0	157.0	150.0	34.0	960.91	145.0	-42.0	-6.0	-1049.0	
1636893282.471618	0.0	0.0	-170.0	7.0	1.0	0.0	58.0	60.0	157.0	150.0	34.0	960.81	145.0	-3.0	-15.0	-1017.0	
1636893282.574274	-3.0	0.0	-170.0	7.0	1.0	0.0	58.0	60.0	158.0	150.0	34.0	960.85	145.0	10.0	-15.0	-1003.0	
1636893282.677783	-4.0	0.0	-171.0	7.0	1.0	0.0	58.0	60.0	159.0	150.0	34.0	960.92	145.0	-13.0	-5.0	-992.0	
1636893282.777769	-5.0	0.0	-171.0	6.0	1.0	0.0	58.0	60.0	160.0	150.0	34.0	960.86	146.0	-14.0	-11.0	-999.0	
1636893282.881622	-5.0	0.0	-171.0	5.0	1.0	0.0	58.0	60.0	159.0	150.0	34.0	961.0	146.0	-6.0	-28.0	-986.0	
1636893282.983504	-2.0	0.0	-171.0	5.0	1.0	0.0	58.0	60.0	160.0	150.0	34.0	961.04	146.0	-4.0	-31.0	-965.0	
1636893283.086202	4.0	1.0	-171.0	5.0	1.0	0.0	59.0	60.0	160.0	150.0	34.0	960.95	146.0	-19.0	-18.0	-988.0	
1636893283.186877	7.0	0.0	-171.0	6.0	1.0	0.0	59.0	60.0	163.0	150.0	34.0	961.06	146.0	-18.0	-11.0	-998.0	
1636893283.28988	7.0	0.0	-171.0	8.0	1.0	0.0	59.0	60.0	161.0	150.0	34.0	960.95	146.0	-16.0	11.0	-1027.0	
1636893283.390658	7.0	0.0	-171.0	9.0	1.0	0.0	59.0	60.0	162.0	150.0	34.0	960.92	146.0	18.0	-7.0	-1000.0	
1636893283.493013	7.0	0.0	-171.0	10.0	1.0	0.0	59.0	60.0	164.0	150.0	34.0	960.98	146.0	1.0	9.0	-995.0	
1636893283.594683	7.0	0.0	-171.0	12.0	2.0	0.0	59.0	60.0	162.0	150.0	34.0	960.96	146.0	31.0	-13.0	-986.0	
1636893283.694831	7.0	0.0	-171.0	13.0	2.0	0.0	59.0	60.0	162.0	150.0	34.0	960.98	146.0	27.0	1.0	-990.0	
1636893283.796959	7.0	0.0	-171.0	14.0	2.0	0.0	59.0	60.0	163.0	150.0	34.0	961.1	147.0	21.0	6.0	-997.0	
1636893283.900826	7.0	0.0	-171.0	15.0	2.0	0.0	59.0	60.0	161.0	150.0	33.0	961.08	147.0	44.0	12.0	-1003.0	
1636893284.001225	7.0	0.0	-171.0	16.0	2.0	0.0	59.0	60.0	162.0	150.0	33.0	961.02	147.0	66.0	3.0	-986.0	
1636893284.102059	7.0	0.0	-171.0	16.0	2.0	0.0	59.0	60.0	161.0	150.0	33.0	961.08	147.0	62.0	7.0	-996.0	
1636893284.205548	7.0	0.0	-171.0	17.0	2.0	0.0	59.0	60.0	158.0	150.0	33.0	961.04	147.0	62.0	-3.0	-992.0	
1636893284.308505	7.0	0.0	-171.0	18.0	2.0	0.0	59.0	60.0	159.0	150.0	33.0	961.1	147.0	74.0	2.0	-1005.0	
1636893284.411096	7.0	0.0	-171.0	19.0	2.0	0.0	59.0	60.0	160.0	150.0	33.0	961.11	147.0	53.0	8.0	-1016.0	
1636893284.512648	7.0	0.0	-171.0	20.0	2.0	0.0	59.0	60.0	158.0	150.0	33.0	961.08	147.0	66.0	10.0	-1029.0	
1636893284.615781	7.0	0.0	-170.0	20.0	2.0	0.0	59.0	60.0	160.0	150.0	33.0	960.99	147.0	72.0	11.0	-995.0	
1636893284.716299	7.0	0.0	-170.0	21.0	2.0	0.0	59.0	60.0	159.0	150.0	33.0	960.99	147.0	85.0	2.0	-1006.0	
1636893284.81785	7.0	0.0	-170.0	21.0	3.0	0.0	59.0	60.0	159.0	150.0	33.0	961.02	148.0	90.0	-2.0	-976.0	
1636893284.92111	7.0	0.0	-170.0	22.0	3.0	0.0	59.0	60.0	158.0	150.0	33.0	961.01	148.0	103.0	-8.0	-1008.0	
1636893285.020261	7.0	0.0	-170.0	22.0	3.0	0.0	59.0	60.0	160.0	150.0	33.0	961.0	148.0	103.0	1.0	-998.0	
1636893285.124945	7.0	-1.0	-170.0	23.0	3.0	0.0	59.0	61.0	159.0	150.0	33.0	960.94	148.0	105.0	0.0	-1005.0	
1636893285.22751	0.0	0.0	-170.0	23.0	3.0	0.0	59.0	61.0	159.0	150.0	33.0	961.14	148.0	107.0	19.0	-1008.0	
1636893285.326998	-5.0	-1.0	-170.0	21.0	3.0	0.0	59.0	61.0	157.0	150.0	33.0	960.97	148.0	105.0	29.0	-980.0	
1636893285.428843	-6.0	-1.0	-170.0	20.0	2.0	0.0	59.0	61.0	159.0	150.0	33.0	961.06	148.0	88.0	12.0	-1009.0	
1636893285.53139	-7.0	-1.0	-170.0	18.0	2.0	0.0	59.0	61.0	158.0	150.0	33.0	961.03	148.0	81.0	19.0	-1015.0	
1636893285.631976	-7.0	-1.0	-170.0	16.0	2.0	0.0	59.0	61.0	160.0	150.0	33.0	961.0	148.0	66.0	10.0	-1009.0	
1636893285.737291	-7.0	0.0	-170.0	14.0	2.0	0.0	59.0	61.0	160.0	150.0	33.0	961.0	149.0	59.0	5.0	-1014.0	
1636893285.836829	-6.0	0.0	-170.0	13.0	2.0	0.0	59.0	61.0	159.0	150.0	33.0	960.94	149.0	39.0	-1.0	-1012.0	
1636893285.890765	-6.0	0.0	-170.0	11.0	2.0	0.0	59.0	61.0	159.0	150.0	33.0	961.01	149.0	24.0	8.0	-1031.0	
1636893285.992517	-6.0	0.0	-170.0	10.0	1.0	0.0	59.0	61.0	159.0	150.0	33.0	960.98	149.0	19.0	15.0	-1025.0	
1636893286.090948	-5.0	0.0	-170.0	9.0	1.0	0.0	59.0	61.0	158.0	150.0	33.0	961.03	149.0	10.0	0.0	-1004.0	
1636893286.193525	-5.0	0.0	-170.0	8.0	1.0	0.0	59.0	61.0	158.0	150.0	33.0	961.03	149.0	-2.0	7.0	-1006.0	
1636893286.298126	-5.0	0.0	-170.0	7.0	1.0	0.0	59.0	61.0	159.0	150.0	33.0	961.06	149.0	-1.0	7.0	-988.0	
1636893286.399362	-5.0	0.0	-170.0	6.0	1.0	0.0	59.0	61.0	159.0	150.0	33.0	961.02	149.0	-13.0	12.0	-1009.0	
1636893286.502143	-5.0	0.0	-170.0	6.0	0.0	0.0	59.0	61.0	160.0	150.0	33.0	961.05	149.0	-16.0	6.0	-999.0	
1636893286.605013	-4.0	0.0	-170.0	5.0	0.0	0.0	59.0	61.0	160.0	150.0	33.0	960.99	149.0	-25.0	7.0	-998.0	
1636893286.703928	-4.0	0.0	-170.0	4.0	0.0	0.0	59.0	61.0	160.0	150.0	33.0	961.09	150.0	-16.0	6.0	-1008.0	
1636893286.807683	-4.0	0.0	-170.0	4.0	0.0	0.0	59.0	61.0	159.0	150.0	33.0	961.01	150.0	-24.0	7.0	-986.0	
1636893286.914812	-4.0	0.0	-170.0	3.0	0.0	0.0	59.0	61.0	160.0	150.0	33.0	961.03	150.0	-36.0	8.0	-1000.0	
1636893287.010691	-4.0	0.0	-170.0	3.0	0.0	0.0	59.0	61.0	159.0	150.0	33.0	961.04	150.0	-22.0	8.0	-999.0	
1636893287.114015	-3.0	0.0	-170.0	3.0	0.0	0.0	58.0	60.0	160.0	150.0	33.0	961.03	150.0	-30.0	15.0	-1003.0	
1636893287.216406	-3.0	0.0	-170.0	2.0	0.0	0.0	58.0	60.0	160.0	150.0	33.0	961.07	150.0	-38.0	14.0	-1003.0	
1636893287.318478	-4.0	0.0	-170.0	2.0	0.0	0.0	58.0	60.0	161.0	150.0	33.0	961.02	150.0	-44.0	16.0	-1004.0	
1636893287.418508	-7.0	0.0	-170.0	2.0	0.0	0.0	58.0	60.0	161.0	150.0	33.0	961.02	150.0	-34.0	7.0	-990.0	
1636893287.524519	-7.0	0.0	-170.0	1.0	0.0	0.0	58.0	60.0	162.0	150.0	33.0	960.97	150.0	-53.0	19.0	-1016.0	
1636893287.623949	-7.0	0.0	-170.0	0.0	0.0	0.0	58.0	60.0	163.0	150.0	33.0	960.98	150.0	-55.0	15.0	-1017.0	
1636893287.722883	-7.0	0.0	-170.0	0.0	0.0	0.0	58.0	60.0	164.0	150.0	33.0	961.02	151.0	-57.0	16.0	-999.0	
1636893287.826505	-7.0	0.0	-170.0	-1.0	0.0	0.0	58.0	60.0	163.0	150.0	33.0	960.94	151.0	-56.0	12.0	-1005.0	
1636893287.928326	-7.0	0.0	-170.0	-1.0	0.0	0.0	58.0	60.0	161.0	150.0	33.0	960.94	151.0	-65.0	22.0	-985.0	
1636893288.029761	-7.0	0.0	-171.0	-2.0	0.0	0.0	58.0	60.0	164.0	150.0	33.0	960.95	151.0	-71.0	19.0	-978.0	
1636893288.136023	-7.0	0.0	-171.0	-3.0	0.0	0.0	59.0	61.0	162.0	150.0	33.0	960.84	151.0	-70.0	1.0	-1016.0	
1636893288.238107	-7.0	0.0	-171.0	-3.0	0.0	0.0	59.0	61.0	162.0	150.0	33.0	960.78	151.0	-89.0	12.0	-1006.0	
1636893288.334804	-7.0	0.0	-171.0	-4.0	-1.0	0.0	59.0	61.0	164.0	150.0	33.0	960.86	151.0	-81.0	-4.0	-965.0	
1636893288.439742	-7.0	0.0	-171.0	-4.0	0.0	0.0	59.0	61.0	164.0	150.0	33.0	960.68	151.0	-69.0	-36.0	-972.0	
1636893288.539164	-7.0	0.0	-171.0	-5.0	0.0	0.0	59.0	61.0	165.0	150.0	33.0	960.75	151.0	-93.0	-14.0	-998.0	
1636893288.642318	-7.0	0.0	-171.0	-6.0	0.0	0.0	59.0	61.0	163.0	150.0	33.0	960.69	151.0	-95.0	-23.0	-1009.0	
1636893288.744824	-7.0	0.0	-171.0	-6.0	0.0	0.0	59.0	61.0	165.0	150.0	33.0	960.62	152.0	-91.0	-19.0	-1026.0	
1636893288.848649	-7.0	0.0	-171.0	-7.0	0.0	0.0	59.0	61.0	164.0	150.0	33.0	960.59	152.0	-115.0	-9.0	-1019.0	
1636893288.948845	-7.0	0.0	-171.0	-7.0	0.0	0.0	59.0	61.0	164.0	150.0	32.0	960.58	152.0	-114.0	-8.0	-977.0	
1636893289.051711	-7.0	0.0	-171.0	-7.0	0.0	0.0	59.0	61.0	163.0	150.0	32.0	960.66	152.0	-109.0	-12.0	-990.0	
1636893289.154276	-7.0	1.0	-171.0	-7.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.75	152.0	-127.0	9.0	-996.0	
1636893289.253546	-6.0	1.0	-171.0	-7.0	0.0	0.0	58.0	61.0	165.0	150.0	32.0	960.66	152.0	-108.0	10.0	-992.0	
1636893289.356134	-4.0	0.0	-171.0	-7.0	-1.0	0.0	58.0	61.0	162.0	150.0	32.0	960.6	152.0	-136.0	4.0	-1010.0	
1636893289.460645	-6.0	0.0	-171.0	-7.0	-1.0	0.0	58.0	61.0	164.0	150.0	32.0	960.62	152.0	-109.0	3.0	-968.0	
1636893289.559901	-7.0	0.0	-170.0	-7.0	-1.0	0.0	58.0	61.0	164.0	150.0	32.0	960.68	152.0	-105.0	-6.0	-982.0	
1636893289.662177	-7.0	0.0	-170.0	-7.0	0.0	0.0	58.0	61.0	162.0	150.0	32.0	960.52	152.0	-113.0	-20.0	-998.0	
1636893289.715544	-7.0	0.0	-170.0	-7.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.61	153.0	-118.0	-21.0	-989.0	
1636893289.817543	-7.0	0.0	-170.0	-8.0	0.0	0.0	58.0	61.0	163.0	150.0	32.0	960.47	153.0	-123.0	0.0	-971.0	
1636893289.918995	-7.0	0.0	-170.0	-8.0	0.0	0.0	58.0	61.0	165.0	150.0	32.0	960.48	153.0	-118.0	-8.0	-980.0	
1636893290.019118	-7.0	0.0	-170.0	-8.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.49	153.0	-127.0	3.0	-987.0	
1636893290.12383	-7.0	0.0	-170.0	-8.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.51	153.0	-144.0	5.0	-990.0	
1636893290.225355	-7.0	0.0	-170.0	-8.0	-1.0	0.0	58.0	61.0	165.0	150.0	32.0	960.6	153.0	-125.0	4.0	-1001.0	
1636893290.326357	-7.0	0.0	-171.0	-8.0	-1.0	0.0	58.0	61.0	165.0	150.0	32.0	960.54	153.0	-137.0	-2.0	-983.0	
1636893290.4279	-8.0	0.0	-171.0	-8.0	0.0	0.0	58.0	61.0	166.0	150.0	32.0	960.54	153.0	-118.0	-22.0	-997.0	
1636893290.530015	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.45	153.0	-119.0	-19.0	-984.0	
1636893290.631132	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	165.0	150.0	32.0	960.52	153.0	-112.0	-16.0	-1000.0	
1636893290.73269	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.43	154.0	-127.0	-6.0	-991.0	
1636893290.835613	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.53	154.0	-147.0	-1.0	-1006.0	
1636893290.939142	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	163.0	150.0	32.0	960.55	154.0	-119.0	-19.0	-970.0	
1636893291.040559	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.48	154.0	-126.0	-29.0	-1003.0	
1636893291.143874	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	162.0	150.0	32.0	960.43	154.0	-135.0	4.0	-973.0	
1636893291.244318	-7.0	0.0	-171.0	-9.0	0.0	0.0	58.0	61.0	162.0	150.0	32.0	960.36	154.0	-132.0	-8.0	-1018.0	
1636893291.346369	-7.0	0.0	-170.0	-9.0	0.0	0.0	58.0	61.0	164.0	150.0	32.0	960.38	154.0	-118.0	-27.0	-1003.0	
1636893291.448367	-7.0	0.0	-170.0	-10.0	0.0	0.0	58.0	61.0	162.0	150.0	32.0	960.35	154.0	-135.0	-13.0	-983.0	
1636893291.550552	-7.0	0.0	-171.0	-10.0	0.0	0.0	58.0	61.0	163.0	150.0	32.0	960.47	154.0	-134.0	-11.0	-978.0	
1636893291.650904	-7.0	0.0	-171.0	-10.0	0.0	0.0	58.0	61.0	163.0	150.0	32.0	960.43	154.0	-139.0	-14.0	-979.0	
1636893291.754956	-7.0	0.0	-171.0	-10.0	0.0	0.0	58.0	61.0	163.0	150.0	32.0	960.45	155.0	-148.0	-21.0	-1008.0	
1636893291.856453	-7.0	1.0	-170.0	-10.0	0.0	0.0	58.0	61.0	162.0	150.0	31.0	960.36	155.0	-160.0	12.0	-963.0	
1636893291.957791	-7.0	1.0	-171.0	-10.0	0.0	0.0	58.0	61.0	162.0	150.0	31.0	960.29	155.0	-146.0	0.0	-984.0	
1636893292.062049	-7.0	0.0	-171.0	-10.0	0.0	0.0	58.0	61.0	161.0	150.0	31.0	960.31	155.0	-132.0	3.0	-986.0	
1636893292.164783	-7.0	0.0	-171.0	-10.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.28	155.0	-131.0	0.0	-1016.0	
1636893292.265481	-7.0	0.0	-171.0	-10.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.34	155.0	-130.0	-14.0	-1003.0	
1636893292.365038	-7.0	0.0	-170.0	-10.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.3	155.0	-132.0	-3.0	-1003.0	
1636893292.470996	-7.0	0.0	-171.0	-10.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.26	155.0	-143.0	1.0	-1006.0	
1636893292.571527	-7.0	0.0	-171.0	-10.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.29	155.0	-141.0	-6.0	-1009.0	
1636893292.674247	-6.0	0.0	-171.0	-10.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.36	155.0	-140.0	-13.0	-1017.0	
1636893292.773462	-7.0	0.0	-171.0	-10.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.54	156.0	-147.0	-29.0	-997.0	
1636893292.874891	-7.0	0.0	-170.0	-10.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.16	156.0	-150.0	-15.0	-1023.0	
1636893292.979663	-7.0	0.0	-170.0	-10.0	0.0	0.0	59.0	61.0	163.0	150.0	31.0	960.37	156.0	-148.0	-22.0	-952.0	
1636893293.078915	-7.0	0.0	-171.0	-9.0	0.0	0.0	59.0	61.0	165.0	150.0	31.0	960.27	156.0	-185.0	-16.0	-994.0	
1636893293.181152	-7.0	1.0	-171.0	-9.0	0.0	0.0	59.0	61.0	164.0	150.0	31.0	960.38	156.0	-155.0	8.0	-981.0	
1636893293.2844	-7.0	1.0	-171.0	-9.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.19	156.0	-156.0	9.0	-980.0	
1636893293.387076	-8.0	1.0	-171.0	-9.0	0.0	0.0	59.0	61.0	166.0	150.0	31.0	960.34	156.0	-144.0	13.0	-977.0	
1636893293.486845	-8.0	0.0	-171.0	-9.0	0.0	0.0	59.0	61.0	163.0	150.0	31.0	960.34	156.0	-155.0	-9.0	-1006.0	
1636893293.590499	-8.0	0.0	-171.0	-9.0	0.0	0.0	59.0	61.0	163.0	150.0	31.0	960.32	156.0	-137.0	-29.0	-1011.0	
1636893293.694106	-8.0	0.0	-170.0	-9.0	0.0	0.0	59.0	61.0	164.0	150.0	31.0	960.37	156.0	-136.0	-14.0	-996.0	
1636893293.79602	-8.0	0.0	-171.0	-9.0	0.0	0.0	59.0	61.0	164.0	150.0	31.0	960.41	157.0	-137.0	-12.0	-993.0	
1636893293.899703	-8.0	0.0	-171.0	-9.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.42	157.0	-136.0	-21.0	-993.0	
1636893294.00087	-7.0	0.0	-170.0	-9.0	0.0	0.0	59.0	61.0	163.0	150.0	31.0	960.29	157.0	-155.0	-9.0	-1020.0	
1636893294.048853	-7.0	0.0	-170.0	-9.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.3	157.0	-156.0	-22.0	-986.0	
1636893294.202256	-7.0	0.0	-170.0	-9.0	0.0	0.0	59.0	61.0	164.0	150.0	31.0	960.41	157.0	-157.0	-24.0	-1011.0	
1636893294.25418	-7.0	1.0	-170.0	-9.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.49	157.0	-156.0	-25.0	-968.0	
1636893294.357265	-7.0	2.0	-171.0	-9.0	0.0	0.0	59.0	61.0	163.0	150.0	31.0	960.46	157.0	-130.0	-24.0	-988.0	
1636893294.457066	-7.0	2.0	-171.0	-8.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.47	157.0	-132.0	-28.0	-1026.0	
1636893294.558485	-7.0	3.0	-171.0	-8.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.41	157.0	-125.0	-27.0	-977.0	
1636893294.65958	-2.0	3.0	-171.0	-8.0	0.0	0.0	59.0	61.0	161.0	150.0	31.0	960.35	157.0	-117.0	-32.0	-998.0	
1636893294.763488	7.0	2.0	-170.0	-7.0	0.0	0.0	59.0	61.0	160.0	150.0	31.0	960.45	158.0	-131.0	-30.0	-1039.0	
1636893294.867241	7.0	0.0	-170.0	-5.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.55	158.0	-107.0	-42.0	-1002.0	
1636893294.965643	7.0	1.0	-170.0	-2.0	0.0	0.0	59.0	61.0	160.0	150.0	31.0	960.5	158.0	-103.0	-22.0	-988.0	
1636893295.067633	6.0	0.0	-170.0	0.0	1.0	0.0	59.0	61.0	161.0	150.0	31.0	960.53	158.0	-81.0	-29.0	-1005.0	
1636893295.173401	6.0	0.0	-170.0	1.0	1.0	0.0	59.0	60.0	158.0	150.0	31.0	960.73	158.0	-59.0	-34.0	-1006.0	
1636893295.27379	6.0	1.0	-170.0	2.0	2.0	0.0	59.0	60.0	159.0	150.0	31.0	960.71	158.0	-51.0	-24.0	-1018.0	
1636893295.375833	6.0	1.0	-170.0	4.0	2.0	0.0	59.0	60.0	157.0	150.0	31.0	960.76	158.0	-30.0	-35.0	-1042.0	
1636893295.479038	6.0	2.0	-170.0	6.0	2.0	0.0	59.0	60.0	158.0	150.0	31.0	960.77	158.0	-23.0	-28.0	-1021.0	
1636893295.578598	6.0	3.0	-170.0	7.0	2.0	0.0	59.0	60.0	157.0	150.0	31.0	960.74	158.0	-9.0	-26.0	-1013.0	
1636893295.683115	4.0	4.0	-170.0	8.0	2.0	0.0	59.0	60.0	158.0	150.0	31.0	960.76	158.0	1.0	-22.0	-1016.0	
1636893295.782694	0.0	3.0	-171.0	9.0	2.0	0.0	59.0	60.0	159.0	150.0	31.0	960.84	159.0	6.0	-21.0	-1012.0	
1636893295.884829	-3.0	2.0	-171.0	9.0	1.0	0.0	59.0	60.0	159.0	150.0	31.0	960.95	159.0	11.0	-18.0	-1002.0	
1636893295.990044	-4.0	1.0	-171.0	8.0	1.0	0.0	59.0	60.0	160.0	150.0	31.0	960.96	159.0	4.0	-30.0	-1002.0	
1636893296.091887	-5.0	1.0	-171.0	7.0	1.0	0.0	59.0	60.0	160.0	150.0	31.0	960.97	159.0	-8.0	-27.0	-1016.0	
1636893296.192383	-5.0	1.0	-170.0	7.0	1.0	0.0	57.0	61.0	159.0	150.0	31.0	961.01	159.0	-10.0	-11.0	-1013.0	
1636893296.295841	-5.0	1.0	-170.0	6.0	0.0	0.0	57.0	61.0	159.0	150.0	31.0	960.92	159.0	-20.0	-11.0	-991.0	
1636893296.397536	-5.0	1.0	-170.0	5.0	0.0	0.0	57.0	61.0	160.0	150.0	31.0	960.86	159.0	-29.0	-4.0	-1000.0	
1636893296.499387	-5.0	0.0	-170.0	5.0	0.0	0.0	57.0	61.0	158.0	150.0	31.0	960.84	159.0	-39.0	4.0	-1007.0	
1636893296.602046	-5.0	0.0	-170.0	4.0	0.0	0.0	57.0	61.0	160.0	150.0	31.0	960.92	159.0	-46.0	9.0	-998.0	
1636893296.702978	-5.0	0.0	-170.0	4.0	0.0	0.0	57.0	61.0	158.0	150.0	31.0	960.78	159.0	-36.0	-5.0	-1021.0	
1636893296.806317	-5.0	0.0	-171.0	3.0	0.0	0.0	57.0	61.0	159.0	150.0	31.0	960.86	160.0	-46.0	0.0	-1012.0	
1636893296.906542	-5.0	0.0	-171.0	3.0	0.0	0.0	57.0	61.0	161.0	150.0	31.0	960.86	160.0	-42.0	-7.0	-1009.0	
1636893297.008849	-5.0	0.0	-171.0	2.0	0.0	0.0	57.0	61.0	159.0	150.0	31.0	960.84	160.0	-42.0	-1.0	-1018.0	
1636893297.060778	-4.0	0.0	-171.0	2.0	0.0	0.0	57.0	61.0	158.0	150.0	31.0	960.81	160.0	-47.0	-13.0	-1023.0	
1636893297.212736	-2.0	0.0	-171.0	1.0	0.0	0.0	59.0	61.0	160.0	150.0	31.0	960.83	160.0	-39.0	-12.0	-1013.0	
1636893297.316211	4.0	0.0	-171.0	2.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.89	160.0	-29.0	-15.0	-993.0	
1636893297.418027	7.0	0.0	-171.0	3.0	0.0	0.0	59.0	61.0	163.0	150.0	31.0	960.94	160.0	-42.0	-25.0	-979.0	
1636893297.520278	7.0	0.0	-171.0	5.0	0.0	0.0	59.0	61.0	162.0	150.0	31.0	960.95	160.0	-46.0	-9.0	-1021.0	
1636893297.620673	7.0	0.0	-171.0	6.0	1.0	0.0	59.0	61.0	163.0	150.0	31.0	960.96	160.0	-38.0	-17.0	-1002.0	
